R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Chuck O'Neil,Chris Cope,Josh Rosenthal,2011-06-04,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,187.96,,170,28,25
Clay Harvison,Justin Edwards,Josh Rosenthal,2011-06-04,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,185.42,187.96,170,28,30
Ramsey Nijem,Tony Ferguson,Josh Rosenthal,2011-06-04,"Las Vegas, Nevada, USA",Blue,TRUE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,193.04,155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,155,27,23
Ryan McGillivray,Shamar Bailey,Chris Tognoni,2011-06-04,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,175.26,190.5,155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,180.34,,170,28,24
Thiago Alves,Rick Story,Kim Winslow,2011-05-28,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,0,5,0,19.5,15.16666667,16.33333333,11.16666667,64.66666667,18.5,19.83333333,11.5,78.16666667,23.16666667,0.1666666667,3.166666667,2.833333333,2,0.6666666667,100.8333333,41.16666667,0.405,1.5,4.833333333,2.833333333,0.685,138.8333333,77,5,1,10,6.833333333,10.83333333,7.333333333,50.66666667,11.83333333,1.166666667,0.5,48.33333333,9.333333333,0,4.333333333,3.5,1,0.1666666667,62.66666667,19.66666667,0.3583333333,1.5,5.5,2.166666667,0.31,84.16666667,40.5,16,724,0,0,2,1,1,1,0,5,Southpaw,175.26,180.34,170,0,1,0,4.571428571,3.428571429,8.857142857,5.285714286,61.57142857,21.28571429,11.21428571,5.357142857,62.42857143,17.35714286,0.6428571429,14.64285714,11.14285714,1,0.1428571429,81.64285714,31.92857143,0.4721428571,0.2857142857,0.7142857143,0.5714285714,0.3571428571,101.2142857,48.64285714,7,4,7,4.642857143,7.285714286,4.214285714,49.71428571,13.85714286,8.571428571,6.071428571,52.35714286,14.57142857,0.1428571429,6.214285714,4.928571429,2.214285714,0.07142857143,65.57142857,24.14285714,0.4142857143,0.5714285714,5.285714286,2.142857143,0.3435714286,88.64285714,45.64285714,33,627.0714286,1,0,0,3,6,0,1,10,Orthodox,175.26,177.8,170,26,27
Daniel Roberts,Claude Patrick,Dan Miragliotta,2011-04-30,"Toronto, Ontario, Canada",Blue,FALSE,Welterweight,3,0,2,0,3,2,4,3,4,1.5,21,13.5,24,14,0,2,2,5.5,0,29,18,0.645,1,3.5,2,0.55,57.5,43.5,2,0,4,2.5,9,5.5,7,2.5,0.5,0.5,7.5,2,0,5,4,0,0,16.5,8.5,0.71,0,1.5,0,0,43,31.5,5,654,0,0,0,1,0,1,0,2,Orthodox,180.34,190.5,170,0,3,0,0.5,0.25,0.25,0.25,16.25,2,4.5,2,20,3.75,0,0.5,0.25,2,0.25,21,4.25,0.2375,1.5,3.25,2.25,0.79,39.5,19,3,1,2.25,1,2.75,1.25,18.75,5.25,1.75,1.75,17.5,3.75,0,3.5,3.5,0.25,0,23.25,8.25,0.3775,0.25,0.75,0.5,0.5,31,15.25,6,329.75,0,0,1,0,0,2,0,3,Southpaw,177.8,187.96,170,30,30
Georges St-Pierre,Jake Shields,Herb Dean,2011-04-30,"Toronto, Ontario, Canada",Red,TRUE,Welterweight,5,0,1,0,11,9,2,2,42,21,2,2,25,9,0,10,7,10,0,46,25,0.54,0,15,4,0.26,80,53,1,0,21,17,25,20,22,8,7,7,33,18,0,0,0,1,0,54,35,0.64,3,0,0,0,77,57,3,900,0,0,1,0,0,0,0,1,Orthodox,182.88,182.88,170,0,8,0,11.17647059,9.235294118,5.294117647,4,57.94117647,27.17647059,30.05882353,21.29411765,70.70588235,34.52941176,0.4705882353,11.41176471,8.705882353,6.294117647,0.2941176471,93.29411765,52.47058824,0.5776470588,1.294117647,5,3.882352941,0.7476470588,158,113.1764706,8,2,4.764705882,3.470588235,4.588235294,2.764705882,42.11764706,8.764705882,3.705882353,1.941176471,42.29411765,7.705882353,0.1176470588,3.352941176,2.294117647,0.4117647059,0.1764705882,50.41176471,13.47058824,0.2941176471,0.4117647059,2.588235294,0.3529411765,0.1141176471,71.88235294,33.23529412,48,805.4117647,10,0,1,7,5,2,0,15,Orthodox,180.34,193.04,185,32,29
Jake Ellenberger,Sean Pierson,Herb Dean,2011-04-30,"Toronto, Ontario, Canada",Red,FALSE,Welterweight,3,0,1,0,24,15,21,15,218,86,14,11,215,86,1,14,11,2,0,253,112,0.44,1,3,1,0.33,295,148,1,0,7,1,4,1,249,31,5,3,248,31,0,3,3,0,0,258,35,0.13,1,2,0,0,266,41,3,900,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,170,0,3,0,9.25,6.75,12,7.25,28,9.5,20.25,9.75,49.25,18.5,0.75,1.75,1.25,1.25,0.75,60.25,26.5,0.4325,0.75,4.5,3.25,0.765,96.25,54.5,3,1,4.5,3.25,6.75,4,30.75,8,9.5,5.5,36.75,10.25,0,5.75,4,2.5,0.75,47,17.5,0.4425,1.25,2.25,0.25,0.125,101,67.75,11,715.75,0,0,1,0,1,0,1,3,Orthodox,175.26,180.34,170,35,26
Nate Diaz,Rory MacDonald,John McCarthy,2011-04-30,"Toronto, Ontario, Canada",Blue,FALSE,Welterweight,3,1,0,0,4,2.5,6,4,34.5,12.5,4,2,39,14.5,0,1.5,1.5,1,0.5,44.5,18.5,0.415,1,5.5,2.5,0.515,58,31.5,1,1,13,6.5,12,5.5,58,17.5,24,16,68.5,22.5,0,12.5,10,2.5,0.5,94,39,0.375,0.5,2.5,0,0,143.5,81.5,4,580,0,0,0,0,0,1,0,1,Orthodox,182.88,193.04,170,1,0,0,7.666666667,4.666666667,10.25,7.083333333,74.25,20.41666667,5,3.416666667,76.5,21.83333333,0.1666666667,5.333333333,4.416666667,1,0.3333333333,89.5,30.91666667,0.4116666667,1.25,3.25,1.166666667,0.4566666667,123.1666667,61.41666667,5,4,4.833333333,3.166666667,9.75,5.583333333,40.5,10.91666667,11.25,6.25,49.41666667,12.91666667,0.1666666667,7.25,6.666666667,1.416666667,0.4166666667,61.5,22.75,0.405,0.75,4.416666667,2.333333333,0.4666666667,74.16666667,34.33333333,27,601.4166667,1,0,1,0,1,6,0,8,Southpaw,182.88,193.04,170,21,26
Anthony Johnson,Dan Hardy,Josh Rosenthal,2011-03-26,"Seattle, Washington, USA",Red,FALSE,Welterweight,3,2,0,0,10.33333333,6.833333333,13,8.333333333,56,15.66666667,4.166666667,2.333333333,50.33333333,11.66666667,0.3333333333,12.5,7.833333333,0,0,73.16666667,26.33333333,0.3333333333,0,0.8333333333,0.3333333333,0.2083333333,98.16666667,49.5,4,2,12,8.833333333,8.5,4.666666667,44.83333333,19.16666667,11.83333333,9.5,42.5,17.16666667,0.1666666667,10.66666667,7.333333333,4.833333333,0.1666666667,65.16666667,33.33333333,0.47,1.666666667,4,2.666666667,0.3466666667,108.1666667,73.16666667,16,756,1,0,2,1,1,0,0,4,Orthodox,182.88,187.96,170,1,0,0,5.5,4,5.25,3.75,35,13.375,7.625,4.5,36.125,12.75,0.75,6.25,4.875,0.375,0.125,47.875,21.625,0.46,0.375,1.5,1.125,0.29125,68.375,39.625,3,3,3,1.75,2.625,1.625,25.25,8.75,2.75,2,21.5,6.25,0,6.125,4.375,0.625,0.125,30.625,12.375,0.3,0.625,1.25,0.375,0.125,47.375,28.75,14,362.375,0,0,0,0,5,0,0,5,Orthodox,187.96,198.12,205,28,27
DaMarques Johnson,Amir Sadollah,Mario Yamasaki,2011-03-26,"Seattle, Washington, USA",Blue,FALSE,Welterweight,3,0,1,0,23.66666667,16.5,25,15.16666667,77.66666667,35.66666667,4.833333333,3.333333333,65.33333333,21.33333333,0,18.5,16.33333333,0.6666666667,0,107.5,54.16666667,0.4066666667,0.3333333333,0.5,0.3333333333,0.1666666667,116.6666667,63,2,2,7.833333333,3.666666667,15,8,58.33333333,15.33333333,7.833333333,4.166666667,69.16666667,20.16666667,0.1666666667,4.166666667,3.666666667,1.333333333,0,81.16666667,27.5,0.4066666667,0,3.166666667,1.333333333,0.3333333333,100.3333333,44.66666667,14,635.1666667,1,0,0,3,0,1,0,4,Orthodox,177.8,187.96,170,0,1,0,2.6,1.8,3.4,2.2,32,8.6,3.8,2.8,35.8,11,0.2,0.8,0.8,1.4,0.2,39.2,13.6,0.404,0.4,0.6,0.2,0.2,47.6,21.2,2,2,6.6,4,5.8,3.4,35,14.6,17.8,9.2,46.2,19,0,5.8,4.2,2,0,58.6,27.2,0.574,2.2,2.8,2,0.61,81.2,45.4,8,407.2,1,0,0,0,1,2,0,3,Orthodox,185.42,190.5,170,30,28
John Hathaway,Kris McCray,Herb Dean,2011-03-26,"Seattle, Washington, USA",Red,FALSE,Welterweight,3,2,0,0,7,4.5,8.5,4.5,27.5,5.5,1,1,28.5,6,0,1.5,0.5,1,0,37,11,0.325,0,1,1,0.5,57.5,31.5,0,2,3,2,6.5,3,20.5,5.5,4.5,3.5,27,8.5,0,1.5,1.5,3,0.5,31.5,12,0.435,1,3.5,2.5,0.355,44.5,25,3,331,1,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,1,0,0,13.6,9.4,7.6,4.6,59.6,19,41.2,22.6,89,31.6,0.2,5.8,5.2,1.8,0.2,108.4,46.2,0.412,0.6,5.4,2.8,0.388,180.8,110.8,4,1,5.8,3.6,4.4,2.6,42,10.8,8.4,5.8,46.6,13.8,0,2.4,1.8,1,0.6,54.8,19.2,0.26,1.4,5,2,0.3,81.4,43.8,13,775.2,0,0,0,3,1,0,0,4,Orthodox,185.42,190.5,170,29,23
Johny Hendricks,TJ Waldburger,Mario Yamasaki,2011-03-26,"Seattle, Washington, USA",Red,FALSE,Welterweight,3,0,1,0,2,1,5,3,3,3,50,31,52,32,0,4,4,12,3,58,37,0.63,7,7,6,0.85,96,69,1,0,3,2,6,4,5,3,7,6,11,9,0,4,2,0,0,18,13,0.72,6,3,2,0.66,59,50,3,900,0,0,0,1,0,0,0,1,Orthodox,180.34,190.5,170,1,0,0,4,2.8,15.6,10.8,31.6,15,8.6,6.4,45.8,23.6,0.6,6,5.8,2,0,55.8,32.2,0.554,1,7.2,4.2,0.392,81.6,56.6,4,1,14.2,10.8,19.2,12.6,41.4,17,0.2,0.2,41.4,14.4,0,5.2,4.6,0.2,0,60.8,29.8,0.428,0.2,3.2,1,0.212,76.2,44.2,12,613.8,0,1,0,1,2,0,0,4,Southpaw,175.26,175.26,185,22,27
Ricardo Almeida,Mike Pyle,Kevin MacDonald,2011-03-19,"Newark, New Jersey, USA",Blue,FALSE,Welterweight,3,0,2,0,3.8,2.2,3.8,2.2,40.6,12.8,10,7.6,45.4,16.6,0.2,5.2,3.8,1.4,0.2,54.4,22.6,0.406,1.4,5,1.4,0.142,101,64.8,2,2,11.2,5.2,5.6,2.6,50.6,12.6,8.4,3.4,48.8,10.2,0.2,4.6,3.2,0.8,0,64.6,18.6,0.32,0.4,1.6,1,0.7,81.6,34.4,12,605.4,0,0,0,1,0,2,0,3,Orthodox,182.88,187.96,170,0,1,0,5.3,4.4,4.5,2.9,19.4,8.3,15.5,9.5,31.9,14.3,0,2.2,2,2.2,0,39.4,20.7,0.559,1.1,6.6,3.1,0.465,56.4,36,3,4,3.6,3.1,7,4.5,18.1,4.7,5.1,2.6,22.8,5.5,0.2,3.8,3.2,0.1,0.1,30.2,11.8,0.35,0.8,1,0.7,0.2,60.4,40.2,22,590.1,0,0,0,3,0,3,0,6,Orthodox,182.88,187.96,170,35,34
Diego Sanchez,Martin Kampmann,Herb Dean,2011-03-03,"Louisville, Kentucky, USA",Red,FALSE,Welterweight,3,1,0,0,6.545454545,5.181818182,8.636363636,6.090909091,33.54545455,12.81818182,9.545454545,6.909090909,43.27272727,19.18181818,0.2727272727,1.909090909,1.454545455,1.636363636,0.1818181818,51.72727273,25.81818182,0.4645454545,1.727272727,1.272727273,0.8181818182,0.3936363636,66,39,4,3,4.363636364,3.454545455,7.818181818,4.363636364,38.90909091,12.54545455,2.909090909,2,42.72727273,13.36363636,0.2727272727,2.545454545,2.090909091,1.545454545,0.09090909091,49.63636364,18.90909091,0.3845454545,0.4545454545,3.818181818,0.9090909091,0.1545454545,58.81818182,27.09090909,20,468.5454545,0,0,1,2,1,4,0,8,Orthodox,182.88,182.88,170,0,1,0,8.466666667,6.466666667,5.466666667,3.6,57.33333333,16.2,24.66666667,14.06666667,77.93333333,26.46666667,0.3333333333,1.066666667,0.9333333333,2,0.2,87.46666667,33.86666667,0.4186666667,0.8666666667,7.066666667,1.4,0.3233333333,102.1333333,46.6,6,4,4,3.066666667,9.933333333,6.2,51,17.06666667,8.866666667,4.533333333,63.26666667,22.53333333,0.06666666667,2.533333333,2.2,0.2666666667,0.1333333333,69.8,27.8,0.46,0.5333333333,2.533333333,1.266666667,0.2826666667,103.1333333,57.4,40,751.8,2,0,1,5,5,0,0,11,Southpaw,177.8,182.88,170,28,29
BJ Penn,Jon Fitch,Herb Dean,2011-02-26,"Sydney, New South Wales, Australia",Draw,FALSE,Welterweight,3,0,5,0,10.07142857,7.785714286,12.5,7.428571429,36.21428571,12.21428571,23.07142857,15.71428571,54.92857143,22.35714286,0.1428571429,6.785714286,5.214285714,2.857142857,0,71.78571429,35.35714286,0.5107142857,0.7857142857,6.142857143,3.428571429,0.5585714286,167.7142857,124.4285714,8,1,6.142857143,4.5,10.28571429,7.642857143,35.07142857,11.71428571,6.071428571,3.928571429,38.78571429,12.92857143,0.2142857143,6.5,5.857142857,0.5714285714,0.3571428571,51.42857143,23.28571429,0.5,1.571428571,2.571428571,1.071428571,0.255,68.21428571,38.5,40,830.4285714,1,0,1,8,1,3,0,13,Orthodox,182.88,193.04,170,0,1,0,7.526315789,6.631578947,11.52631579,8.894736842,53.21052632,21.78947368,11,7.947368421,65.26315789,29.31578947,0.3157894737,2.947368421,2.684210526,2.105263158,0.05263157895,75.73684211,38.63157895,0.5931578947,0.5789473684,1.894736842,1.210526316,0.3847368421,115.8421053,77.26315789,3,7,9.210526316,6.368421053,7.947368421,5,60.21052632,18.42105263,9.315789474,6.263157895,60,17.36842105,0,8.263157895,5.947368421,1,0.3684210526,77.47368421,29.68421053,0.3821052632,0.1052631579,6.473684211,1.315789474,0.2710526316,114.6842105,64.94736842,56,817.4210526,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,33,32
Brian Ebersole,Chris Lytle,Steve Perceval,2011-02-26,"Sydney, New South Wales, Australia",Red,FALSE,Welterweight,3,0,4,0,13.5,10.55555556,11.88888889,8.388888889,70.27777778,27.22222222,2.277777778,1.444444444,66.33333333,22.77777778,0.1111111111,4.611111111,3.722222222,0.7222222222,0.3333333333,84.44444444,37.05555556,0.4422222222,1.388888889,1,0.5,0.2955555556,123.5555556,74.61111111,4,9,11.61111111,8.666666667,9.555555556,6.166666667,54.38888889,21,10.38888889,5.833333333,56.11111111,18.72222222,0.2222222222,6.611111111,5.611111111,1.444444444,0.2222222222,74.33333333,33,0.4505555556,0.3888888889,2.722222222,1.222222222,0.4577777778,99.88888889,57.27777778,42,622.3888889,1,0,0,3,1,5,0,9,Orthodox,180.34,172.72,170,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,170,36,30
Jake Ellenberger,Carlos Eduardo Rocha,Kim Winslow,2011-02-05,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,1,0,0,0,0,0,4,2,0,0,3,1,0,1,1,1,1,4,2,0.5,1,0,0,0,5,3,1,0,3,2,1,0,5,1,2,2,4,1,0,1,0,2,0,8,3,0.37,0,2,2,1,19,14,1,141,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,170,0,2,0,9,7,11.66666667,7.666666667,18.33333333,7,25,12.33333333,45.33333333,19.33333333,1,0.6666666667,0.6666666667,1.333333333,1,55,27,0.47,1,4.333333333,3.333333333,0.82,95.66666667,59,2,1,4.333333333,3.666666667,7.666666667,5,17.66666667,4.333333333,12,7,31,11,0,2,1.666666667,2.333333333,0.6666666667,37.33333333,16.33333333,0.5,1,1.333333333,0.3333333333,0.1666666667,105.3333333,79.66666667,8,654.3333333,0,0,0,0,1,0,1,2,Orthodox,175.26,180.34,170,29,25
Mike Pierce,Kenny Robertson,Herb Dean,2011-02-05,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,170,0,2,0,11.5,8.5,18.25,10.75,46.75,10.5,22.75,16.5,64.25,18.75,0,12,10.5,2.75,0,87.75,37.75,0.4925,0.5,7.25,4.25,0.575,153.25,98.25,2,1,7.75,5.25,13.25,5.25,52.25,15.25,1.5,1.25,55.25,14.5,0,4,2,0.25,0,67,21.75,0.3325,0.25,2.5,1,0.1,95,47.25,12,872.75,0,0,0,2,0,1,0,3,Orthodox,172.72,177.8,170,26,30
Charlie Brenneman,Amilcar Alves,Jon Schorle,2011-01-22,"Killeen, Texas, USA",Red,FALSE,Welterweight,3,1,0,0,1,0,1,0,6,1,3,3,7,3,0,2,1,0,0,10,4,0.4,0,0,0,0,20,12,0,1,9,9,6,4,4,0,37,27,25,11,0,13,11,4,0,47,31,0.65,2,6,4,0.66,110,87,3,791,0,0,0,0,0,0,0,0,Southpaw,182.88,,170,1,0,0,10.5,10,8.5,4,19.5,4.5,15,12.5,30.5,10,0,2,1,1.5,0,43,21,0.445,0,7,4,0.55,78,55,1,1,5,4,6.5,3.5,22,9,8,7.5,29.5,15,1,2,1,0.5,1,36.5,20,0.52,1.5,0.5,0,0,46.5,29.5,5,620,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,155,22,29
DaMarques Johnson,Mike Guymon,Don Turnage,2011-01-22,"Killeen, Texas, USA",Red,FALSE,Welterweight,3,1,0,0,5.333333333,5,4.333333333,4.333333333,15.66666667,4,13.33333333,13.33333333,26.33333333,15,0,1.666666667,1.666666667,3.333333333,0.3333333333,33.33333333,21.66666667,0.3566666667,0.6666666667,2.333333333,1,0.3333333333,59.33333333,47.66666667,1,2,1.666666667,0.6666666667,0.6666666667,0.6666666667,15,3.333333333,1.666666667,1.666666667,15,4.666666667,0,0.6666666667,0.3333333333,1.333333333,0.3333333333,17.33333333,5.666666667,0.3066666667,1.666666667,3.333333333,1.333333333,0.6066666667,24,12.33333333,5,413.3333333,0,0,0,1,0,0,0,1,Orthodox,182.88,187.96,170,1,0,0,3.25,2.25,4.25,2.75,39.75,10.75,4,3,43.75,13.25,0.25,1,1,0.25,0.25,48,16.5,0.38,0.5,0.5,0,0,56.25,23.75,2,2,8.25,5,7.25,4.25,43.5,18,22.25,11.5,57.75,23.75,0,7,5,2.5,0,73,33.75,0.4675,2.75,3.25,2.5,0.7625,99,54.25,7,458.5,1,0,0,0,1,1,0,2,Orthodox,185.42,190.5,170,36,28
Daniel Roberts,Greg Soto,Kim Winslow,2011-01-01,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,3,0,1,0,14.5,14,13.5,10,25.5,10,30.5,25.5,50.5,27.5,0,4.5,4,4.5,0,69.5,45.5,0.615,0.5,5.5,1.5,0.21,146.5,107.5,1,1,10.5,9,34.5,23.5,32,8.5,11,6,53,17,0,14,12,0.5,0,77.5,38,0.48,0.5,3.5,2,0.33,111.5,68,6,795,0,0,0,1,0,0,0,1,Orthodox,180.34,185.42,170,0,2,0,0.6666666667,0.3333333333,0.3333333333,0.3333333333,17.66666667,1.666666667,5.666666667,2.666666667,22.33333333,4,0,0.6666666667,0.3333333333,2.333333333,0.3333333333,23.66666667,4.666666667,0.24,1.333333333,3.666666667,2.666666667,0.8866666667,45.33333333,22.66666667,2,1,2.333333333,1,3,1,22,6.333333333,1.666666667,1.666666667,19.66666667,3.333333333,0,4.666666667,4.666666667,0.3333333333,0,26.66666667,9,0.35,0,1,0.6666666667,0.6666666667,37,18.33333333,5,364.6666667,0,0,1,0,0,1,0,2,Southpaw,177.8,187.96,170,24,30
Nate Diaz,Dong Hyun Kim,Yves Lavigne,2011-01-01,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,3,0,2,0,2,2,10,9.8,13.8,3.6,27,20,45.4,28.2,0,3.4,3.2,5,0.2,50.8,33.4,0.606,0.8,7.2,3.6,0.618,90,70.2,2,1,11.2,8.4,12.8,9.4,27.4,9,4.2,2.8,26,7.8,0,7.2,5,0.4,0,44.4,21.2,0.402,0.6,5,0.8,0.172,67.6,43,15,845,0,0,1,2,1,0,0,4,Southpaw,187.96,193.04,170,0,2,0,7.272727273,4.181818182,9,6,75.54545455,20.81818182,5.363636364,3.636363636,77.36363636,21.81818182,0.1818181818,5.272727273,4.454545455,1,0.2727272727,89.90909091,30.45454545,0.4109090909,1.272727273,3.454545455,1.181818182,0.4072727273,121.8181818,59.63636364,5,3,5.181818182,3.363636364,10.54545455,6,41.36363636,10.72727273,11,6.363636364,50.81818182,13.27272727,0.1818181818,6.909090909,6.454545455,1.272727273,0.3636363636,62.90909091,23.09090909,0.4045454545,0.8181818182,4.181818182,2.272727273,0.4709090909,74.90909091,34.36363636,24,574.2727273,1,0,1,0,1,6,0,8,Southpaw,182.88,193.04,170,29,25
Georges St-Pierre,Josh Koscheck,Herb Dean,2010-12-11,"Montreal, Quebec, Canada",Red,TRUE,Welterweight,5,0,3,0,3.882352941,2.764705882,1.176470588,0.7058823529,29.70588235,7.941176471,12.29411765,9.117647059,37.52941176,13.58823529,0.2352941176,1.764705882,1.411764706,2.764705882,0.05882352941,43.17647059,17.76470588,0.4164705882,0.4117647059,3.411764706,1.941176471,0.5476470588,66.11764706,39.58823529,5,4,2.176470588,1.176470588,2,1.235294118,40.05882353,12,1.882352941,1.294117647,34.52941176,7.705882353,0.2352941176,7.235294118,5.647058824,0.2352941176,0.1176470588,43.94117647,14.52941176,0.3288235294,1.352941176,0.4117647059,0.1764705882,0.1176470588,57.58823529,27.82352941,35,553,0,0,0,5,5,3,0,13,Orthodox,177.8,185.42,170,0,7,0,10.75,9.5,5,3.75,46,22.5,31.9375,22.625,63.5,32.625,0.5,8.6875,6.75,6.6875,0.3125,82.9375,48.875,0.5875,1.375,4.75,3.875,0.766875,149.625,111.75,7,2,4.6875,3.4375,4.5,2.625,36.8125,8.6875,3.875,2,36.9375,7.4375,0.125,3.5625,2.4375,0.4375,0.1875,45.1875,13.3125,0.305625,0.4375,2.5,0.3125,0.105625,67.125,33.4375,43,762,9,0,1,6,5,2,0,14,Orthodox,180.34,193.04,185,33,29
